HW Test ID;HW requirements ID
HWTEST_001;HW_SREQ_0010
HWTEST_001;HW_REQ_0030
HWTEST_001;HW_REQ_0040
HWTEST_001;HW_REQ_0050
HWTEST_001;HW_REQ_0060
HWTEST_001;HW_REQ_0070
HWTEST_001;HW_REQ_0080
HWTEST_001;HW_REQ_0090
HWTEST_001;HW_REQ_0740
HWTEST_001;HW_REQ_0750
HWTEST_001;HW_REQ_0770
HWTEST_001;HW_REQ_0830
HWTEST_001;HW_REQ_0950
HWTEST_001;HW_REQ_1170
HWTEST_001;HW_REQ_1400
HWTEST_001;HW_REQ_1470
HWTEST_001;HW_REQ_1540
HWTEST_001;HW_REQ_1550
HWTEST_001;HW_REQ_1560
HWTEST_001;HW_REQ_1570
HWTEST_001;HW_REQ_1580
HWTEST_001;HW_REQ_1670
HWTEST_001;HW_REQ_1770
HWTEST_001;HW_REQ_1890
HWTEST_001;HW_REQ_2170
HWTEST_001;HW_REQ_2430
HWTEST_001;HW_REQ_2640
HWTEST_001;HW_REQ_2830
HWTEST_001;HW_REQ_3040
HWTEST_001;HW_REQ_3270
HWTEST_001;HW_REQ_3360
HWTEST_001;HW_REQ_3400
HWTEST_001;HW_REQ_3410
HWTEST_001;HW_REQ_3460
HWTEST_001;HW_REQ_3530
HWTEST_001;HW_REQ_3540
HWTEST_001;HW_REQ_3830
HWTEST_001;HW_REQ_4010
HWTEST_001;HW_REQ_4180
HWTEST_001;HW_REQ_4310
HWTEST_001;HW_REQ_4440
HWTEST_001;HW_REQ_4570
HWTEST_001;HW_REQ_4680
HWTEST_001;HW_REQ_4870
HWTEST_001;HW_REQ_4880  
HWTEST_001;HW_REQ_4780
HWTEST_001;HW_REQ_4900
HWTEST_001;HW_REQ_4950
HWTEST_001;HW_REQ_4980
HWTEST_001;HW_SREQ_5170
HWTEST_001;HW_REQ_5230
HWTEST_001;HW_SREQ_5140
HWTEST_001;HW_SREQ_5150
HWTEST_001;HW_SREQ_5160
HWTEST_001;HW_SREQ_5180
HWTEST_001;HW_REQ_3925
HWTEST_001;HW_REQ_4095
HWTEST_001;HW_REQ_4265
HWTEST_001;HW_REQ_4515
HWTEST_002;HW_REQ_0100
HWTEST_002;HW_REQ_0110
HWTEST_002;HW_SREQ_0120
HWTEST_002;HW_SREQ_0130
HWTEST_002;HW_REQ_0780
HWTEST_002;HW_REQ_0790
HWTEST_002;HW_REQ_0840
HWTEST_002;HW_REQ_0850
HWTEST_002;HW_REQ_0960
HWTEST_002;HW_REQ_0970
HWTEST_002;HW_REQ_1180
HWTEST_002;HW_REQ_1190
HWTEST_002;HW_REQ_1410
HWTEST_002;HW_REQ_1420
HWTEST_002;HW_REQ_1480
HWTEST_002;HW_REQ_1490
HWTEST_002;HW_REQ_1590
HWTEST_002;HW_SREQ_1600
HWTEST_002;HW_REQ_1680
HWTEST_002;HW_REQ_1690
HWTEST_002;HW_SREQ_1780
HWTEST_002;HW_SREQ_1790
HWTEST_002;HW_REQ_1900
HWTEST_002;HW_SREQ_1910
HWTEST_002;HW_REQ_2180
HWTEST_002;HW_SREQ_2190
HWTEST_002;HW_REQ_2440
HWTEST_002;HW_SREQ_2450
HWTEST_002;HW_REQ_2650
HWTEST_002;HW_REQ_2840
HWTEST_002;HW_SREQ_2850
HWTEST_002;HW_REQ_3050
HWTEST_002;HW_SREQ_3060
HWTEST_002;HW_REQ_3280
HWTEST_002;HW_SREQ_3290
HWTEST_002;HW_REQ_3420
HWTEST_002;HW_REQ_3430
HWTEST_002;HW_REQ_3470
HWTEST_002;HW_REQ_3480
HWTEST_002;HW_REQ_3550
HWTEST_002;HW_REQ_3560
HWTEST_002;HW_REQ_3600
HWTEST_002;HW_REQ_3630
HWTEST_002;HW_REQ_3640
HWTEST_002;HW_REQ_3840
HWTEST_002;HW_REQ_3850
HWTEST_002;HW_REQ_4020
HWTEST_002;HW_REQ_4030
HWTEST_002;HW_REQ_4190
HWTEST_002;HW_REQ_4200
HWTEST_002;HW_REQ_4320
HWTEST_002;HW_REQ_4330
HWTEST_002;HW_REQ_4450
HWTEST_002;HW_REQ_4460
HWTEST_002;HW_REQ_4580
HWTEST_002;HW_REQ_4590
HWTEST_002;HW_REQ_4690
HWTEST_002;HW_REQ_4700
HWTEST_002;HW_REQ_5000
HWTEST_002;HW_REQ_4990
HWTEST_002;HW_REQ_4810
HWTEST_002;HW_SREQ_2660
HWTEST_003;HW_SREQ_0140
HWTEST_003;HW_REQ_0150
HWTEST_003;HW_REQ_0800
HWTEST_003;HW_REQ_0810
HWTEST_003;HW_REQ_0860
HWTEST_003;HW_REQ_0980
HWTEST_003;HW_REQ_1200
HWTEST_003;HW_REQ_1430
HWTEST_003;HW_REQ_1500
HWTEST_003;HW_SREQ_1610
HWTEST_003;HW_REQ_1700
HWTEST_003;HW_SREQ_1800
HWTEST_003;HW_SREQ_1920
HWTEST_003;HW_SREQ_2200
HWTEST_003;HW_SREQ_2460
HWTEST_003;HW_SREQ_2670
HWTEST_003;HW_SREQ_2860
HWTEST_003;HW_SREQ_3070
HWTEST_003;HW_SREQ_3300
HWTEST_003;HW_REQ_3440
HWTEST_003;HW_REQ_3490
HWTEST_003;HW_REQ_3570
HWTEST_003;HW_REQ_3610
HWTEST_003;HW_REQ_3650
HWTEST_003;HW_REQ_3860
HWTEST_003;HW_REQ_4040
HWTEST_003;HW_REQ_4210
HWTEST_003;HW_REQ_4340
HWTEST_003;HW_REQ_4470
HWTEST_003;HW_REQ_4600
HWTEST_003;HW_REQ_4710
HWTEST_003;HW_REQ_4830
HWTEST_003;HW_REQ_5010
HWTEST_003;HW_REQ_4820
HWTEST_003;HW_SREQ_1461
HWTEST_003;HW_REQ_1995
HWTEST_004;HW_REQ_0530
HWTEST_004;HW_REQ_0540
HWTEST_004;HW_REQ_0550
HWTEST_004;HW_REQ_0560
HWTEST_004;HW_REQ_0570
HWTEST_004;HW_REQ_0580
HWTEST_004;HW_REQ_0610
HWTEST_004;HW_REQ_0620
HWTEST_004;HW_REQ_0640
HWTEST_004;HW_REQ_0650
HWTEST_004;HW_SREQ_0660
HWTEST_004;HW_REQ_0670
HWTEST_004;HW_REQ_0680
HWTEST_004;HW_REQ_0690
HWTEST_004;HW_REQ_0760
HWTEST_004;HW_REQ_0820
HWTEST_004;HW_REQ_0940
HWTEST_004;HW_REQ_1160
HWTEST_004;HW_REQ_1390
HWTEST_004;HW_REQ_1460
HWTEST_004;HW_REQ_1530
HWTEST_004;HW_REQ_1760
HWTEST_004;HW_REQ_1880
HWTEST_004;HW_REQ_2150
HWTEST_004;HW_REQ_3350
HWTEST_004;HW_REQ_3390
HWTEST_004;HW_REQ_3520
HWTEST_004;HW_REQ_4760
HWTEST_004;HW_REQ_0590
HWTEST_004;HW_SREQ_0450
HWTEST_004;HW_REQ_4790
HWTEST_004;HW_REQ_4800
HWTEST_004;HW_REQ_4960
HWTEST_004;HW_REQ_4970
HWTEST_004;HW_REQ_5050
HWTEST_004;HW_REQ_5040
HWTEST_004;HW_REQ_5130
HWTEST_004;HW_REQ_4860
HWTEST_004;HW_SREQ_0600
HWTEST_004;HW_REQ_4920
